iter	Logloss
0	0.6873382419
1	0.6820748386
2	0.6762700179
3	0.6712744108
4	0.6666738617
5	0.661749832
6	0.6564972967
7	0.6531588238
8	0.6478125589
9	0.6427996314
10	0.6385261992
11	0.6349020273
12	0.6307966531
13	0.6260651212
14	0.6215356718
15	0.6179055527
16	0.6140013356
17	0.6108323825
18	0.6076338025
19	0.6044344757
20	0.6008394377
21	0.5970214867
22	0.5935386855
23	0.5904735837
24	0.5883647412
25	0.5846907592
26	0.5811348053
27	0.5779786882
28	0.5746537164
29	0.5715215187
30	0.5693212399
31	0.5660298364
32	0.5629298823
33	0.5599015488
34	0.5572924064
35	0.5541758652
36	0.5516466303
37	0.5488852114
38	0.5466444177
39	0.5452146027
40	0.5432804722
41	0.5404827645
42	0.5382538644
43	0.5358217336
44	0.5333824902
45	0.5316026782
46	0.5290265589
47	0.5270883172
48	0.5254245626
49	0.5229499917
50	0.5210104907
51	0.5184621021
52	0.5163518193
53	0.5143023999
54	0.5121552032
55	0.5102186926
56	0.5084833998
57	0.5069354474
58	0.5046021605
59	0.5029288571
60	0.5015471693
61	0.4996727173
62	0.4980951981
63	0.497251344
64	0.4964238073
65	0.4946820024
66	0.4929861622
67	0.4912626021
68	0.489452394
69	0.4880493144
70	0.4872559567
71	0.4860988361
72	0.4851551462
73	0.4835089861
74	0.4820483716
75	0.48098414
76	0.479568628
77	0.478023614
78	0.4765862028
79	0.4755641485
80	0.474001497
81	0.472560851
82	0.4711494342
83	0.4703638949
84	0.4693379964
85	0.4688119306
86	0.4680159829
87	0.4666804976
88	0.46542745
89	0.4643099777
90	0.4631560363
91	0.4620544096
92	0.4615321833
93	0.4603192877
94	0.4590585654
95	0.4578636578
96	0.4569435007
97	0.4558214508
98	0.454886633
99	0.4537578124
100	0.4527604597
101	0.4518338278
102	0.4507009446
103	0.4503414608
104	0.4494986247
105	0.4483581299
106	0.4473888161
107	0.4463998231
108	0.4455385837
109	0.4448040599
110	0.4438789181
111	0.4427892045
112	0.4419258719
113	0.4410570955
114	0.440549201
115	0.440268489
116	0.4394958158
117	0.4385407022
118	0.4379127455
119	0.4373721737
120	0.4367426605
121	0.4361699328
122	0.4353373015
123	0.4345916682
124	0.4339923597
125	0.4332234457
126	0.4330014066
127	0.4325773577
128	0.4317877753
129	0.4310749857
130	0.4307578192
131	0.4298896319
132	0.4291717947
133	0.4289797472
134	0.4282192866
135	0.4279077353
136	0.4272481276
137	0.4264465469
138	0.4258421015
139	0.4250749309
140	0.4247066208
141	0.4238582792
142	0.4236856836
143	0.423281176
144	0.4231794759
145	0.4227384227
146	0.4225857762
147	0.4220567525
148	0.4213757366
149	0.4207350739
150	0.4204566178
151	0.4200576268
152	0.4196034795
153	0.4193708472
154	0.4187353064
155	0.4182476734
156	0.4175754979
157	0.4170125606
158	0.4167397094
159	0.4164253712
160	0.4158393552
161	0.4155110946
162	0.414942384
163	0.4145342171
164	0.4140431656
165	0.4134392658
166	0.4129973331
167	0.4125189652
168	0.412233037
169	0.4118146249
170	0.4111991156
171	0.4107251113
172	0.4104665474
173	0.4100454869
174	0.4096914703
175	0.4092307318
176	0.4091487604
177	0.4086560437
178	0.4083522522
179	0.4080237314
180	0.4078175678
181	0.4073627776
182	0.4069850398
183	0.4069076398
184	0.4064493902
185	0.4059690344
186	0.4056146252
187	0.4051993047
188	0.4049742934
189	0.4046680494
190	0.4043852286
191	0.4038932396
192	0.4036137317
193	0.4033887985
194	0.4030781217
195	0.4026665316
196	0.4025281816
197	0.4022146
198	0.4020704096
199	0.4018621366
200	0.4015264839
201	0.4010108697
202	0.4006578693
203	0.4002507894
204	0.3997737064
205	0.39931885
206	0.3989492193
207	0.3988994778
208	0.3985059089
209	0.3983472532
210	0.3979317735
211	0.3976381047
212	0.3974621193
213	0.3971502476
214	0.396997032
215	0.3966829863
216	0.3964424607
217	0.3960351906
218	0.3957691663
219	0.3953212839
220	0.3950750752
221	0.3948059378
222	0.3943931626
223	0.3940369467
224	0.3936719059
225	0.3933767009
226	0.393049815
227	0.3926471052
228	0.3923522137
229	0.3919780075
230	0.3917592165
231	0.3913819773
232	0.3910579385
233	0.3908157819
234	0.3907737725
235	0.3905557194
236	0.390178422
237	0.3899322543
238	0.3896820465
239	0.3895350128
240	0.3894103942
241	0.3890661422
242	0.3887202359
243	0.3884450165
244	0.3881620594
245	0.38812607
246	0.388034459
247	0.3877079191
248	0.3875087534
249	0.3872774875
250	0.3869640933
251	0.3867154315
252	0.3864517481
253	0.3861334819
254	0.3859932043
255	0.385740444
256	0.385565837
257	0.3854379387
258	0.3854165956
259	0.385056096
260	0.3847879614
261	0.384493857
262	0.3843072829
263	0.3841963683
264	0.3839779898
265	0.3837041917
266	0.3835403222
267	0.3832950573
268	0.3831554352
269	0.3829909123
270	0.3827807345
271	0.3826146577
272	0.3823480722
273	0.382082248
274	0.3817959786
275	0.3816987293
276	0.3815237816
277	0.3813061732
278	0.381145752
279	0.3809587089
280	0.3806921134
281	0.3805534223
282	0.3803540254
283	0.3801877758
284	0.3798142951
285	0.379487776
286	0.3791136305
287	0.3788127223
288	0.3786833827
289	0.3785008553
290	0.3783011637
291	0.378104465
292	0.3778961376
293	0.3777629575
294	0.3773652722
295	0.3771534903
296	0.3769273259
297	0.3766925482
298	0.3764561396
299	0.3762689975
300	0.3759932732
301	0.3757339281
302	0.3756334481
303	0.3753708841
304	0.3751716883
305	0.3749045408
306	0.3746986614
307	0.3746543997
308	0.3743754654
309	0.3741400582
310	0.3739116211
311	0.3738309743
312	0.3737025413
313	0.3736661257
314	0.3734826234
315	0.3733034945
316	0.3732181909
317	0.3730756687
318	0.3729311146
319	0.372913357
320	0.3726992073
321	0.3725904492
322	0.3725273839
323	0.3723617929
324	0.3721091898
325	0.3719504166
326	0.3717233352
327	0.3715543373
328	0.3712023791
329	0.3710887394
330	0.3709325622
331	0.3707088037
332	0.3706715599
333	0.3705772104
334	0.3703894313
335	0.3701557658
336	0.3699833228
337	0.3698102462
338	0.3697490794
339	0.3695665169
340	0.3695259506
341	0.3693554053
342	0.3692910082
343	0.3691740702
344	0.3689734536
345	0.3688740837
346	0.3686360395
347	0.368390354
348	0.3681454007
349	0.3679753883
350	0.3677620706
351	0.367592909
352	0.3673410313
353	0.3672506453
354	0.3670127152
355	0.3668201239
356	0.3667536105
357	0.366626696
358	0.3664654191
359	0.3662202653
360	0.3660828015
361	0.3658682367
362	0.3658240079
363	0.3657384489
364	0.365712211
365	0.3655879117
366	0.365535578
367	0.3654861672
368	0.3653310584
369	0.36516721
370	0.3648473571
371	0.364706588
372	0.3646693401
373	0.3646175128
374	0.3643559843
375	0.3641738728
