iter	Passed	Remaining
0	1	1593
1	3	1596
2	5	1828
3	7	1801
4	8	1739
5	10	1731
6	12	1734
7	14	1780
8	16	1780
9	18	1786
10	19	1777
11	21	1764
12	23	1757
13	25	1767
14	26	1730
15	28	1728
16	29	1726
17	32	1746
18	33	1705
19	34	1677
20	35	1670
21	37	1666
22	42	1819
23	45	1844
24	47	1854
25	49	1849
26	51	1842
27	53	1859
28	55	1852
29	56	1828
30	57	1811
31	58	1782
32	60	1779
33	62	1776
34	65	1793
35	66	1790
36	67	1769
37	69	1763
38	72	1789
39	74	1790
40	76	1777
41	78	1801
42	81	1807
43	82	1791
44	85	1804
45	85	1782
46	87	1764
47	88	1758
48	89	1743
49	91	1736
50	93	1731
51	94	1728
52	96	1732
53	99	1746
54	101	1745
55	103	1743
56	105	1746
57	106	1734
58	108	1727
59	110	1726
60	112	1724
61	113	1713
62	115	1710
63	116	1699
64	118	1699
65	120	1698
66	121	1694
67	123	1691
68	125	1693
69	127	1693
70	128	1682
71	129	1675
72	131	1674
73	133	1666
74	134	1664
75	135	1651
76	136	1638
77	137	1631
78	139	1626
79	141	1622
80	142	1618
81	144	1621
82	146	1618
83	148	1617
84	150	1615
85	152	1615
86	153	1614
87	155	1612
88	157	1613
89	159	1610
90	160	1603
91	162	1601
92	164	1603
93	165	1595
94	167	1596
95	168	1586
96	169	1578
97	170	1569
98	171	1560
99	172	1555
100	174	1550
101	175	1549
102	177	1549
103	178	1541
104	180	1539
105	182	1541
106	184	1542
107	186	1540
108	188	1538
109	190	1537
110	191	1537
111	193	1531
112	194	1528
113	195	1522
114	197	1517
115	198	1515
116	200	1514
117	202	1514
118	204	1513
119	205	1506
120	207	1503
121	208	1503
122	210	1502
123	211	1496
124	213	1495
125	215	1492
126	216	1487
127	218	1489
128	220	1487
129	221	1482
130	223	1481
131	224	1478
132	226	1476
133	228	1475
134	230	1476
135	232	1474
136	233	1471
137	235	1469
138	237	1469
139	238	1467
140	240	1464
141	241	1459
142	243	1460
143	244	1455
144	246	1453
145	247	1446
146	248	1444
147	250	1443
148	252	1441
149	253	1438
150	255	1436
151	257	1437
152	259	1435
153	260	1432
154	262	1430
155	263	1425
156	264	1422
157	266	1419
158	267	1416
159	268	1410
160	270	1408
161	272	1408
162	273	1404
163	275	1402
164	277	1402
165	278	1399
166	279	1394
167	281	1392
168	282	1390
169	284	1388
170	286	1387
171	287	1385
172	289	1383
173	291	1381
174	292	1379
175	294	1377
176	295	1375
177	297	1374
178	299	1372
179	300	1368
180	302	1366
181	303	1365
182	305	1363
183	307	1362
184	308	1360
185	310	1359
186	311	1354
187	313	1352
188	314	1349
189	315	1344
190	317	1344
191	319	1343
192	320	1341
193	322	1340
194	324	1339
195	326	1337
196	326	1332
197	328	1330
198	330	1329
199	331	1327
200	332	1323
201	334	1322
202	336	1321
203	338	1319
204	339	1316
205	341	1314
206	342	1313
207	344	1311
208	346	1309
209	347	1307
210	348	1304
211	350	1303
212	352	1301
213	353	1299
214	355	1296
215	356	1294
216	358	1293
217	359	1290
218	361	1288
219	363	1287
220	364	1286
221	366	1284
222	368	1284
223	370	1284
224	372	1282
225	374	1281
226	375	1278
227	377	1277
228	379	1276
229	380	1274
230	382	1273
231	384	1272
232	385	1269
233	387	1268
234	389	1266
235	390	1263
236	391	1261
237	393	1259
238	394	1255
239	396	1254
240	397	1252
241	398	1249
242	399	1244
243	401	1243
244	403	1242
245	405	1241
246	406	1240
247	408	1238
